ProdSalesCode,p,d,q,P,D,Q,M
06810107CA_1297,2,1,3,2,1,2,9
06810107CA_1328,3,0,1,2,0,2,9
06810107CA_1346,3,0,3,2,0,1,12
06810107CA_1602,2,1,3,2,0,1,0
06810107CA_1680,3,1,3,3,1,2,12
06810107CA_1820,3,1,3,2,0,1,3
06810107CA_1872,2,0,3,2,1,3,3
06810107CA_1889,1,0,1,2,0,3,3
06810107CA_2014,3,1,3,3,0,3,9
06810107CA_2059,3,0,1,2,0,1,12
06810107CA_2065,2,1,3,3,1,2,9
06810107CA_2071,3,0,2,3,1,1,6
06810107CA_2090,3,1,1,3,1,1,3
06810107CA_2107,2,0,3,1,0,2,6
06810107CA_2137,2,1,1,2,1,3,3
06810107CA_2153,3,0,1,2,0,2,12
06810107CA_2162,1,1,2,3,0,2,9
06810107CA_2174,1,1,2,2,0,2,12
06810107CA_2183,1,0,3,3,1,3,6
06810107CA_2188,3,1,1,1,0,3,3
06810107CA_2203,3,0,3,3,0,3,9
06810107CA_2217,1,0,2,2,0,2,12
06810107CA_2227,2,0,1,2,0,1,3
06810107CA_2229,1,0,2,3,1,1,12
06810107CA_2241,2,1,3,1,0,1,12
06810107CA_2244,2,0,1,3,1,1,12
06810107CA_2258,3,0,3,2,1,1,9
06810107CA_2263,1,1,2,3,0,2,9
06810107CA_2278,2,1,2,2,1,2,6
06810107CA_2280,1,1,2,1,0,3,9
06810107CA_2291,3,1,2,2,1,1,12
06810107CA_2300,3,1,2,1,0,2,3
06810107CA_2304,1,1,3,1,1,2,9
06810107CA_2308,3,0,3,2,0,3,3
06810107CA_2337,3,1,1,1,0,2,9
06810107CA_2340,3,1,3,3,1,1,9
06810107CA_2352,3,0,1,3,0,2,3
06810107CA_2353,3,0,1,2,1,2,9
06810107CA_2369,1,0,2,2,1,2,3
06810107CA_2371,3,1,3,3,1,1,12
06810107CA_2378,1,0,1,2,0,2,0
06810107CA_2389,3,0,2,3,1,1,6
06810107CA_2398,2,1,1,2,0,2,12
06810107CA_2406,1,1,1,1,0,1,3
06810107CA_2410,2,0,3,2,1,2,12
06810107CA_3990,3,0,1,3,0,1,9
06810107CA_4040,1,0,3,1,0,3,0
06810107CA_4055,3,0,2,2,1,2,9
06810107CA_7302,1,0,3,1,0,2,0
06810107CA_8138,1,0,2,3,0,2,6
06810107CA_8141,2,1,3,3,0,2,6
06810107CA_8182,1,0,2,1,1,2,6
06810112CA_0000,3,0,2,3,1,3,3
06810112CA_1235,1,0,1,2,0,1,3
06810112CA_1289,3,1,1,2,0,3,9
06810112CA_1328,3,0,1,3,0,1,9
06810112CA_1872,3,1,2,3,0,3,6
06810112CA_2059,2,0,1,1,0,2,12
06810112CA_2065,2,0,1,1,0,3,0
06810112CA_2107,3,1,2,2,1,2,12
06810112CA_2153,3,0,3,3,0,1,3
06810112CA_2224,3,0,1,3,1,2,9
06810112CA_2227,1,1,3,2,1,1,9
06810112CA_2244,2,0,2,1,0,2,9
06810112CA_2280,1,0,3,3,0,2,0
06810112CA_2291,1,1,1,2,1,1,9
06810112CA_2378,2,0,2,1,1,2,3
06811105CA_1015,3,0,3,1,0,2,9
06811105CA_1034,1,1,3,3,0,1,12
06811105CA_1080,3,0,2,3,0,2,9
06811105CA_1099,3,1,3,3,0,1,12
06811105CA_1137,1,0,1,3,0,3,9
